timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631775672187,14,Issues list,200,OK,Thread Group 1-1,text,true,,910,549,1,1,http://10.240.4.179/api/issues/?ordering=-creation_date,4,0,1
1631775672187,4,Issues list-0,301,Moved Permanently,Thread Group 1-1,text,true,,288,274,1,1,http://10.240.4.179/api/issues?ordering=-creation_date,4,0,1
1631775672191,10,Issues list-1,200,OK,Thread Group 1-1,text,true,,622,275,1,1,http://10.240.4.179/api/issues/?ordering=-creation_date,10,0,0
1631775672202,9,Issue jdh001,200,OK,Thread Group 1-1,text,true,,750,515,1,1,http://10.240.4.179/api/issues/jdh001/,1,0,0
1631775672202,1,Issue jdh001-0,301,Moved Permanently,Thread Group 1-1,text,true,,271,257,1,1,http://10.240.4.179/api/issues/jdh001,1,0,0
1631775672204,7,Issue jdh001-1,200,OK,Thread Group 1-1,text,true,,479,258,1,1,http://10.240.4.179/api/issues/jdh001/,7,0,0
1631775672240,16,Issues list,200,OK,Thread Group 1-2,text,true,,910,549,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,5,0,2
1631775672240,5,Issues list-0,301,Moved Permanently,Thread Group 1-2,text,true,,288,274,2,2,http://10.240.4.179/api/issues?ordering=-creation_date,5,0,2
1631775672245,11,Issues list-1,200,OK,Thread Group 1-2,text,true,,622,275,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,11,0,0
1631775672256,12,Issue jdh001,200,OK,Thread Group 1-2,text,true,,750,515,2,2,http://10.240.4.179/api/issues/jdh001/,2,0,0
1631775672256,2,Issue jdh001-0,301,Moved Permanently,Thread Group 1-2,text,true,,271,257,2,2,http://10.240.4.179/api/issues/jdh001,2,0,0
1631775672258,10,Issue jdh001-1,200,OK,Thread Group 1-2,text,true,,479,258,2,2,http://10.240.4.179/api/issues/jdh001/,10,0,0
1631775672211,75,Articles's list jdh001,200,OK,Thread Group 1-1,text,true,,224350,264,2,2,http://10.240.4.179/api/articles/?pid=jdh001,69,0,0
1631775672288,24,Random article,200,OK,Thread Group 1-1,text,true,,20524,531,3,3,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,2,0,0
1631775672288,2,Random article-0,301,Moved Permanently,Thread Group 1-1,text,true,,279,265,3,3,http://10.240.4.179/api/articles/8pGzPyTDKBjR,2,0,0
1631775672290,22,Random article-1,200,OK,Thread Group 1-1,text,true,,20245,266,3,3,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,21,0,0
1631775672287,30,Issues list,200,OK,Thread Group 1-3,text,true,,910,549,3,3,http://10.240.4.179/api/issues/?ordering=-creation_date,4,0,2
1631775672287,4,Issues list-0,301,Moved Permanently,Thread Group 1-3,text,true,,288,274,3,3,http://10.240.4.179/api/issues?ordering=-creation_date,4,0,2
1631775672291,26,Issues list-1,200,OK,Thread Group 1-3,text,true,,622,275,3,3,http://10.240.4.179/api/issues/?ordering=-creation_date,26,0,0
1631775672268,82,Articles's list jdh001,200,OK,Thread Group 1-2,text,true,,224350,264,4,4,http://10.240.4.179/api/articles/?pid=jdh001,73,0,0
1631775672317,37,Issue jdh001,200,OK,Thread Group 1-3,text,true,,750,515,4,4,http://10.240.4.179/api/issues/jdh001/,26,0,0
1631775672317,26,Issue jdh001-0,301,Moved Permanently,Thread Group 1-3,text,true,,271,257,4,4,http://10.240.4.179/api/issues/jdh001,26,0,0
1631775672343,11,Issue jdh001-1,200,OK,Thread Group 1-3,text,true,,479,258,4,4,http://10.240.4.179/api/issues/jdh001/,11,0,0
1631775672340,15,Issues list,200,OK,Thread Group 1-4,text,true,,910,549,4,4,http://10.240.4.179/api/issues/?ordering=-creation_date,5,0,2
1631775672340,5,Issues list-0,301,Moved Permanently,Thread Group 1-4,text,true,,288,274,4,4,http://10.240.4.179/api/issues?ordering=-creation_date,5,0,2
1631775672345,10,Issues list-1,200,OK,Thread Group 1-4,text,true,,622,275,4,4,http://10.240.4.179/api/issues/?ordering=-creation_date,10,0,0
1631775672352,27,Random article,200,OK,Thread Group 1-2,text,true,,35081,531,4,4,http://10.240.4.179/api/articles/WBqfZzfi7nHK/,5,0,0
1631775672352,5,Random article-0,301,Moved Permanently,Thread Group 1-2,text,true,,279,265,4,4,http://10.240.4.179/api/articles/WBqfZzfi7nHK,5,0,0
1631775672357,22,Random article-1,200,OK,Thread Group 1-2,text,true,,34802,266,4,4,http://10.240.4.179/api/articles/WBqfZzfi7nHK/,22,0,0
1631775672390,20,Issues list,200,OK,Thread Group 1-5,text,true,,910,549,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,7,0,3
1631775672390,7,Issues list-0,301,Moved Permanently,Thread Group 1-5,text,true,,288,274,5,5,http://10.240.4.179/api/issues?ordering=-creation_date,7,0,3
1631775672397,13,Issues list-1,200,OK,Thread Group 1-5,text,true,,622,275,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,13,0,0
1631775672410,15,Issue jdh001,200,OK,Thread Group 1-5,text,true,,750,515,5,5,http://10.240.4.179/api/issues/jdh001/,4,0,0
1631775672410,4,Issue jdh001-0,301,Moved Permanently,Thread Group 1-5,text,true,,271,257,5,5,http://10.240.4.179/api/issues/jdh001,4,0,0
1631775672414,11,Issue jdh001-1,200,OK,Thread Group 1-5,text,true,,479,258,5,5,http://10.240.4.179/api/issues/jdh001/,11,0,0
1631775672355,98,Issue jdh001,200,OK,Thread Group 1-4,text,true,,750,515,6,6,http://10.240.4.179/api/issues/jdh001/,3,0,0
1631775672355,3,Issue jdh001-0,301,Moved Permanently,Thread Group 1-4,text,true,,271,257,6,6,http://10.240.4.179/api/issues/jdh001,3,0,0
1631775672358,95,Issue jdh001-1,200,OK,Thread Group 1-4,text,true,,479,258,6,6,http://10.240.4.179/api/issues/jdh001/,95,0,0
1631775672354,98,Articles's list jdh001,200,OK,Thread Group 1-3,text,true,,224350,264,6,6,http://10.240.4.179/api/articles/?pid=jdh001,87,0,0
1631775672438,34,Issues list,200,OK,Thread Group 1-6,text,true,,910,549,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,15,0,2
1631775672438,15,Issues list-0,301,Moved Permanently,Thread Group 1-6,text,true,,288,274,6,6,http://10.240.4.179/api/issues?ordering=-creation_date,15,0,2
1631775672454,18,Issues list-1,200,OK,Thread Group 1-6,text,true,,622,275,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,18,0,0
1631775672312,163,Raw github,200,OK,Thread Group 1-1,text,true,,14088282,319,6,6,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-8pGzPyTDKBjR/main/JDH_Article.ipynb,2,0,0
1631775672425,92,Articles's list jdh001,200,OK,Thread Group 1-5,text,true,,224350,264,6,6,http://10.240.4.179/api/articles/?pid=jdh001,84,0,0
1631775672380,153,Raw github,200,OK,Thread Group 1-2,text,true,,6779253,347,6,6,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-WBqfZzfi7nHK/main/scripts/Digital_epigraphy_cite2c_biblio.ipynb,1,0,0
1631775672519,25,Random article,200,OK,Thread Group 1-5,text,true,,29182,531,6,6,http://10.240.4.179/api/articles/L2gBr3BzwH8Z/,3,0,0
1631775672519,3,Random article-0,301,Moved Permanently,Thread Group 1-5,text,true,,279,265,6,6,http://10.240.4.179/api/articles/L2gBr3BzwH8Z,3,0,0
1631775672522,22,Random article-1,200,OK,Thread Group 1-5,text,true,,28903,266,6,6,http://10.240.4.179/api/articles/L2gBr3BzwH8Z/,21,0,0
1631775672454,94,Articles's list jdh001,200,OK,Thread Group 1-4,text,true,,224350,264,6,6,http://10.240.4.179/api/articles/?pid=jdh001,87,0,0
1631775672472,87,Issue jdh001,200,OK,Thread Group 1-6,text,true,,750,515,6,6,http://10.240.4.179/api/issues/jdh001/,73,0,0
1631775672472,73,Issue jdh001-0,301,Moved Permanently,Thread Group 1-6,text,true,,271,257,6,6,http://10.240.4.179/api/issues/jdh001,73,0,0
1631775672545,14,Issue jdh001-1,200,OK,Thread Group 1-6,text,true,,479,258,6,6,http://10.240.4.179/api/issues/jdh001/,14,0,0
1631775672544,21,Raw github,200,OK,Thread Group 1-5,text,true,,1143276,337,6,6,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-L2gBr3BzwH8Z/main/DigitalHistoryRepresentations.ipynb,2,0,0
1631775672456,109,Random article,200,OK,Thread Group 1-3,text,true,,30292,531,6,6,http://10.240.4.179/api/articles/4yxHGiqXYRbX/,87,0,0
1631775672456,87,Random article-0,301,Moved Permanently,Thread Group 1-3,text,true,,279,265,6,6,http://10.240.4.179/api/articles/4yxHGiqXYRbX,87,0,0
1631775672543,22,Random article-1,200,OK,Thread Group 1-3,text,true,,30013,266,6,6,http://10.240.4.179/api/articles/4yxHGiqXYRbX/,22,0,0
1631775672491,77,Issues list,200,OK,Thread Group 1-7,text,true,,910,549,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,54,0,2
1631775672491,54,Issues list-0,301,Moved Permanently,Thread Group 1-7,text,true,,288,274,5,5,http://10.240.4.179/api/issues?ordering=-creation_date,54,0,2
1631775672545,23,Issues list-1,200,OK,Thread Group 1-7,text,true,,622,275,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,23,0,0
1631775672540,34,Issues list,200,OK,Thread Group 1-8,text,true,,910,549,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,8,0,2
1631775672540,8,Issues list-0,301,Moved Permanently,Thread Group 1-8,text,true,,288,274,5,5,http://10.240.4.179/api/issues?ordering=-creation_date,8,0,2
1631775672548,26,Issues list-1,200,OK,Thread Group 1-8,text,true,,622,275,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,26,0,0
1631775672551,45,Random article,200,OK,Thread Group 1-4,text,true,,19120,531,6,6,http://10.240.4.179/api/articles/SLCj9T3MsrEk/,17,0,0
1631775672551,17,Random article-0,301,Moved Permanently,Thread Group 1-4,text,true,,279,265,6,6,http://10.240.4.179/api/articles/SLCj9T3MsrEk,17,0,0
1631775672568,28,Random article-1,200,OK,Thread Group 1-4,text,true,,18841,266,6,6,http://10.240.4.179/api/articles/SLCj9T3MsrEk/,28,0,0
1631775672597,49,Raw github,200,OK,Thread Group 1-4,text,true,,1847661,331,7,7,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-SLCj9T3MsrEk/main/jdh_twitter5_anonymised.ipynb,1,0,0
1631775672574,77,Issue jdh001,200,OK,Thread Group 1-8,text,true,,750,515,6,6,http://10.240.4.179/api/issues/jdh001/,23,0,0
1631775672574,23,Issue jdh001-0,301,Moved Permanently,Thread Group 1-8,text,true,,271,257,6,6,http://10.240.4.179/api/issues/jdh001,23,0,0
1631775672597,54,Issue jdh001-1,200,OK,Thread Group 1-8,text,true,,479,258,6,6,http://10.240.4.179/api/issues/jdh001/,54,0,0
1631775672559,93,Articles's list jdh001,200,OK,Thread Group 1-6,text,true,,224350,264,6,6,http://10.240.4.179/api/articles/?pid=jdh001,83,0,0
1631775672637,20,Issues list,200,OK,Thread Group 1-10,text,true,,910,549,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,6,0,2
1631775672637,6,Issues list-0,301,Moved Permanently,Thread Group 1-10,text,true,,288,274,6,6,http://10.240.4.179/api/issues?ordering=-creation_date,6,0,2
1631775672643,14,Issues list-1,200,OK,Thread Group 1-10,text,true,,622,275,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,14,0,0
1631775672586,82,Issues list,200,OK,Thread Group 1-9,text,true,,910,549,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,11,0,2
1631775672586,11,Issues list-0,301,Moved Permanently,Thread Group 1-9,text,true,,288,274,6,6,http://10.240.4.179/api/issues?ordering=-creation_date,11,0,2
1631775672597,71,Issues list-1,200,OK,Thread Group 1-9,text,true,,622,275,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,71,0,0
1631775672568,109,Issue jdh001,200,OK,Thread Group 1-7,text,true,,750,515,6,6,http://10.240.4.179/api/issues/jdh001/,28,0,0
1631775672568,28,Issue jdh001-0,301,Moved Permanently,Thread Group 1-7,text,true,,271,257,6,6,http://10.240.4.179/api/issues/jdh001,28,0,0
1631775672597,80,Issue jdh001-1,200,OK,Thread Group 1-7,text,true,,479,258,6,6,http://10.240.4.179/api/issues/jdh001/,80,0,0
1631775672565,121,Raw github,200,OK,Thread Group 1-3,text,true,,9297333,335,6,6,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-4yxHGiqXYRbX/main/TopicSpecificCorpusBuilding.ipynb,3,0,0
1631775672668,20,Issue jdh001,200,OK,Thread Group 1-9,text,true,,750,515,5,5,http://10.240.4.179/api/issues/jdh001/,9,0,0
1631775672668,9,Issue jdh001-0,301,Moved Permanently,Thread Group 1-9,text,true,,271,257,5,5,http://10.240.4.179/api/issues/jdh001,9,0,0
1631775672677,11,Issue jdh001-1,200,OK,Thread Group 1-9,text,true,,479,258,5,5,http://10.240.4.179/api/issues/jdh001/,11,0,0
1631775672658,41,Issue jdh001,200,OK,Thread Group 1-10,text,true,,750,515,6,6,http://10.240.4.179/api/issues/jdh001/,19,0,0
1631775672658,19,Issue jdh001-0,301,Moved Permanently,Thread Group 1-10,text,true,,271,257,6,6,http://10.240.4.179/api/issues/jdh001,19,0,0
1631775672677,22,Issue jdh001-1,200,OK,Thread Group 1-10,text,true,,479,258,6,6,http://10.240.4.179/api/issues/jdh001/,22,0,0
1631775672655,64,Random article,200,OK,Thread Group 1-6,text,true,,41871,531,6,6,http://10.240.4.179/api/articles/JJszM3GwAYDs/,22,0,0
1631775672655,22,Random article-0,301,Moved Permanently,Thread Group 1-6,text,true,,279,265,6,6,http://10.240.4.179/api/articles/JJszM3GwAYDs,22,0,0
1631775672677,42,Random article-1,200,OK,Thread Group 1-6,text,true,,41592,266,6,6,http://10.240.4.179/api/articles/JJszM3GwAYDs/,41,0,0
