timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631775927623,15,Issues list,200,OK,Thread Group 1-1,text,true,,910,549,1,1,http://10.240.4.179/api/issues/?ordering=-creation_date,5,0,2
1631775927623,5,Issues list-0,301,Moved Permanently,Thread Group 1-1,text,true,,288,274,1,1,http://10.240.4.179/api/issues?ordering=-creation_date,5,0,2
1631775927628,10,Issues list-1,200,OK,Thread Group 1-1,text,true,,622,275,1,1,http://10.240.4.179/api/issues/?ordering=-creation_date,10,0,0
1631775927638,10,Issue jdh001,200,OK,Thread Group 1-1,text,true,,750,515,2,2,http://10.240.4.179/api/issues/jdh001/,2,0,0
1631775927638,2,Issue jdh001-0,301,Moved Permanently,Thread Group 1-1,text,true,,271,257,2,2,http://10.240.4.179/api/issues/jdh001,2,0,0
1631775927640,8,Issue jdh001-1,200,OK,Thread Group 1-1,text,true,,479,258,2,2,http://10.240.4.179/api/issues/jdh001/,8,0,0
1631775927649,16,Issues list,200,OK,Thread Group 1-2,text,true,,910,549,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,4,0,1
1631775927649,4,Issues list-0,301,Moved Permanently,Thread Group 1-2,text,true,,288,274,2,2,http://10.240.4.179/api/issues?ordering=-creation_date,4,0,1
1631775927653,12,Issues list-1,200,OK,Thread Group 1-2,text,true,,622,275,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,12,0,0
1631775927665,10,Issue jdh001,200,OK,Thread Group 1-2,text,true,,750,515,3,3,http://10.240.4.179/api/issues/jdh001/,2,0,0
1631775927665,2,Issue jdh001-0,301,Moved Permanently,Thread Group 1-2,text,true,,271,257,3,3,http://10.240.4.179/api/issues/jdh001,2,0,0
1631775927667,8,Issue jdh001-1,200,OK,Thread Group 1-2,text,true,,479,258,3,3,http://10.240.4.179/api/issues/jdh001/,8,0,0
1631775927649,74,Articles's list jdh001,200,OK,Thread Group 1-1,text,true,,224350,264,4,4,http://10.240.4.179/api/articles/?pid=jdh001,70,0,0
1631775927675,55,Issues list,200,OK,Thread Group 1-3,text,true,,910,549,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,45,0,1
1631775927675,45,Issues list-0,301,Moved Permanently,Thread Group 1-3,text,true,,288,274,5,5,http://10.240.4.179/api/issues?ordering=-creation_date,45,0,1
1631775927720,10,Issues list-1,200,OK,Thread Group 1-3,text,true,,622,275,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,10,0,0
1631775927730,10,Issue jdh001,200,OK,Thread Group 1-3,text,true,,750,515,5,5,http://10.240.4.179/api/issues/jdh001/,2,0,0
1631775927730,2,Issue jdh001-0,301,Moved Permanently,Thread Group 1-3,text,true,,271,257,5,5,http://10.240.4.179/api/issues/jdh001,2,0,0
1631775927732,8,Issue jdh001-1,200,OK,Thread Group 1-3,text,true,,479,258,5,5,http://10.240.4.179/api/issues/jdh001/,8,0,0
1631775927675,77,Articles's list jdh001,200,OK,Thread Group 1-2,text,true,,224350,264,6,6,http://10.240.4.179/api/articles/?pid=jdh001,72,0,0
1631775927702,55,Issues list,200,OK,Thread Group 1-4,text,true,,910,549,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,19,0,2
1631775927702,19,Issues list-0,301,Moved Permanently,Thread Group 1-4,text,true,,288,274,6,6,http://10.240.4.179/api/issues?ordering=-creation_date,19,0,2
1631775927721,36,Issues list-1,200,OK,Thread Group 1-4,text,true,,622,275,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,36,0,0
1631775927724,46,Issues list,200,OK,Thread Group 1-5,text,true,,910,549,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,34,0,1
1631775927724,34,Issues list-0,301,Moved Permanently,Thread Group 1-5,text,true,,288,274,6,6,http://10.240.4.179/api/issues?ordering=-creation_date,34,0,1
1631775927758,12,Issues list-1,200,OK,Thread Group 1-5,text,true,,622,275,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,12,0,0
1631775927726,64,Random article,200,OK,Thread Group 1-1,text,true,,20524,531,7,7,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,33,0,0
1631775927726,33,Random article-0,301,Moved Permanently,Thread Group 1-1,text,true,,279,265,7,7,http://10.240.4.179/api/articles/8pGzPyTDKBjR,33,0,0
1631775927759,31,Random article-1,200,OK,Thread Group 1-1,text,true,,20245,266,7,7,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,31,0,0
1631775927757,44,Issue jdh001,200,OK,Thread Group 1-4,text,true,,750,515,8,8,http://10.240.4.179/api/issues/jdh001/,5,0,0
1631775927757,5,Issue jdh001-0,301,Moved Permanently,Thread Group 1-4,text,true,,271,257,8,8,http://10.240.4.179/api/issues/jdh001,5,0,0
1631775927762,39,Issue jdh001-1,200,OK,Thread Group 1-4,text,true,,479,258,8,8,http://10.240.4.179/api/issues/jdh001/,39,0,0
1631775927773,38,Issues list,200,OK,Thread Group 1-7,text,true,,910,549,8,8,http://10.240.4.179/api/issues/?ordering=-creation_date,28,0,2
1631775927773,28,Issues list-0,301,Moved Permanently,Thread Group 1-7,text,true,,288,274,8,8,http://10.240.4.179/api/issues?ordering=-creation_date,28,0,2
1631775927801,10,Issues list-1,200,OK,Thread Group 1-7,text,true,,622,275,8,8,http://10.240.4.179/api/issues/?ordering=-creation_date,10,0,0
1631775927811,14,Issue jdh001,200,OK,Thread Group 1-7,text,true,,750,515,9,9,http://10.240.4.179/api/issues/jdh001/,2,0,0
1631775927811,2,Issue jdh001-0,301,Moved Permanently,Thread Group 1-7,text,true,,271,257,9,9,http://10.240.4.179/api/issues/jdh001,2,0,0
1631775927813,12,Issue jdh001-1,200,OK,Thread Group 1-7,text,true,,479,258,9,9,http://10.240.4.179/api/issues/jdh001/,12,0,0
1631775927740,88,Articles's list jdh001,200,OK,Thread Group 1-3,text,true,,224350,264,9,9,http://10.240.4.179/api/articles/?pid=jdh001,79,0,0
1631775927770,62,Issue jdh001,200,OK,Thread Group 1-5,text,true,,750,515,9,9,http://10.240.4.179/api/issues/jdh001/,31,0,0
1631775927770,31,Issue jdh001-0,301,Moved Permanently,Thread Group 1-5,text,true,,271,257,9,9,http://10.240.4.179/api/issues/jdh001,31,0,0
1631775927801,31,Issue jdh001-1,200,OK,Thread Group 1-5,text,true,,479,258,9,9,http://10.240.4.179/api/issues/jdh001/,31,0,0
1631775927747,92,Issues list,200,OK,Thread Group 1-6,text,true,,910,549,9,9,http://10.240.4.179/api/issues/?ordering=-creation_date,72,0,2
1631775927747,72,Issues list-0,301,Moved Permanently,Thread Group 1-6,text,true,,288,274,9,9,http://10.240.4.179/api/issues?ordering=-creation_date,72,0,2
1631775927819,20,Issues list-1,200,OK,Thread Group 1-6,text,true,,622,275,9,9,http://10.240.4.179/api/issues/?ordering=-creation_date,20,0,0
1631775927798,115,Issues list,200,OK,Thread Group 1-8,text,true,,910,549,12,12,http://10.240.4.179/api/issues/?ordering=-creation_date,24,0,2
1631775927798,24,Issues list-0,301,Moved Permanently,Thread Group 1-8,text,true,,288,274,12,12,http://10.240.4.179/api/issues?ordering=-creation_date,24,0,2
1631775927822,91,Issues list-1,200,OK,Thread Group 1-8,text,true,,622,275,12,12,http://10.240.4.179/api/issues/?ordering=-creation_date,91,0,0
1631775927801,113,Articles's list jdh001,200,OK,Thread Group 1-4,text,true,,224350,264,12,12,http://10.240.4.179/api/articles/?pid=jdh001,100,0,0
1631775927790,139,Raw github,200,OK,Thread Group 1-1,text,true,,14088282,319,13,13,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-8pGzPyTDKBjR/main/JDH_Article.ipynb,1,0,0
1631775927832,102,Articles's list jdh001,200,OK,Thread Group 1-5,text,true,,224350,264,12,12,http://10.240.4.179/api/articles/?pid=jdh001,95,0,0
1631775927755,183,Random article,200,OK,Thread Group 1-2,text,true,,19120,531,12,12,http://10.240.4.179/api/articles/SLCj9T3MsrEk/,67,0,0
1631775927755,67,Random article-0,301,Moved Permanently,Thread Group 1-2,text,true,,279,265,12,12,http://10.240.4.179/api/articles/SLCj9T3MsrEk,67,0,0
1631775927822,116,Random article-1,200,OK,Thread Group 1-2,text,true,,18841,266,12,12,http://10.240.4.179/api/articles/SLCj9T3MsrEk/,116,0,0
1631775927897,46,Issues list,200,OK,Thread Group 1-12,text,true,,910,549,12,12,http://10.240.4.179/api/issues/?ordering=-creation_date,35,0,3
1631775927897,35,Issues list-0,301,Moved Permanently,Thread Group 1-12,text,true,,288,274,12,12,http://10.240.4.179/api/issues?ordering=-creation_date,35,0,3
1631775927932,11,Issues list-1,200,OK,Thread Group 1-12,text,true,,622,275,12,12,http://10.240.4.179/api/issues/?ordering=-creation_date,11,0,0
1631775927926,32,Issues list,200,OK,Thread Group 1-13,text,true,,910,549,13,13,http://10.240.4.179/api/issues/?ordering=-creation_date,6,0,1
1631775927926,6,Issues list-0,301,Moved Permanently,Thread Group 1-13,text,true,,288,274,13,13,http://10.240.4.179/api/issues?ordering=-creation_date,6,0,1
1631775927932,26,Issues list-1,200,OK,Thread Group 1-13,text,true,,622,275,13,13,http://10.240.4.179/api/issues/?ordering=-creation_date,26,0,0
1631775927873,92,Issues list,200,OK,Thread Group 1-11,text,true,,910,549,13,13,http://10.240.4.179/api/issues/?ordering=-creation_date,59,0,2
1631775927873,59,Issues list-0,301,Moved Permanently,Thread Group 1-11,text,true,,288,274,13,13,http://10.240.4.179/api/issues?ordering=-creation_date,59,0,2
1631775927932,33,Issues list-1,200,OK,Thread Group 1-11,text,true,,622,275,13,13,http://10.240.4.179/api/issues/?ordering=-creation_date,33,0,0
1631775927939,30,Raw github,200,OK,Thread Group 1-2,text,true,,1847661,331,13,13,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-SLCj9T3MsrEk/main/jdh_twitter5_anonymised.ipynb,2,0,0
1631775927936,53,Random article,200,OK,Thread Group 1-5,text,true,,20524,531,13,13,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,30,0,0
1631775927936,30,Random article-0,301,Moved Permanently,Thread Group 1-5,text,true,,279,265,13,13,http://10.240.4.179/api/articles/8pGzPyTDKBjR,30,0,0
1631775927966,23,Random article-1,200,OK,Thread Group 1-5,text,true,,20245,266,13,13,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,23,0,0
1631775927958,39,Issue jdh001,200,OK,Thread Group 1-13,text,true,,750,515,13,13,http://10.240.4.179/api/issues/jdh001/,8,0,0
1631775927958,8,Issue jdh001-0,301,Moved Permanently,Thread Group 1-13,text,true,,271,257,13,13,http://10.240.4.179/api/issues/jdh001,8,0,0
1631775927966,31,Issue jdh001-1,200,OK,Thread Group 1-13,text,true,,479,258,13,13,http://10.240.4.179/api/issues/jdh001/,31,0,0
1631775927965,39,Issue jdh001,200,OK,Thread Group 1-11,text,true,,750,515,14,14,http://10.240.4.179/api/issues/jdh001/,3,0,0
1631775927965,3,Issue jdh001-0,301,Moved Permanently,Thread Group 1-11,text,true,,271,257,14,14,http://10.240.4.179/api/issues/jdh001,3,0,0
1631775927968,36,Issue jdh001-1,200,OK,Thread Group 1-11,text,true,,479,258,14,14,http://10.240.4.179/api/issues/jdh001/,36,0,0
