timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631112084694,323,Issues list,200,OK,Thread Group 1-1,text,true,,910,549,1,1,http://10.240.4.179/api/issues/?ordering=-creation_date,246,0,64
1631112084694,248,Issues list-0,301,Moved Permanently,Thread Group 1-1,text,true,,288,274,1,1,http://10.240.4.179/api/issues?ordering=-creation_date,246,0,64
1631112084942,75,Issues list-1,200,OK,Thread Group 1-1,text,true,,622,275,1,1,http://10.240.4.179/api/issues/?ordering=-creation_date,75,0,0
1631112085021,128,Issue jdh001,200,OK,Thread Group 1-1,text,true,,750,515,1,1,http://10.240.4.179/api/issues/jdh001/,67,0,0
1631112085021,67,Issue jdh001-0,301,Moved Permanently,Thread Group 1-1,text,true,,271,257,1,1,http://10.240.4.179/api/issues/jdh001,67,0,0
1631112085089,60,Issue jdh001-1,200,OK,Thread Group 1-1,text,true,,479,258,1,1,http://10.240.4.179/api/issues/jdh001/,60,0,0
1631112085644,292,Issues list,200,OK,Thread Group 1-2,text,true,,910,549,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,210,0,152
1631112085644,210,Issues list-0,301,Moved Permanently,Thread Group 1-2,text,true,,288,274,2,2,http://10.240.4.179/api/issues?ordering=-creation_date,210,0,152
1631112085855,81,Issues list-1,200,OK,Thread Group 1-2,text,true,,622,275,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,81,0,0
1631112085936,126,Issue jdh001,200,OK,Thread Group 1-2,text,true,,750,515,2,2,http://10.240.4.179/api/issues/jdh001/,64,0,0
1631112085936,64,Issue jdh001-0,301,Moved Permanently,Thread Group 1-2,text,true,,271,257,2,2,http://10.240.4.179/api/issues/jdh001,64,0,0
1631112086000,62,Issue jdh001-1,200,OK,Thread Group 1-2,text,true,,479,258,2,2,http://10.240.4.179/api/issues/jdh001/,62,0,0
1631112085151,1024,Articles's list jdh001,200,OK,Thread Group 1-1,text,true,,209265,264,2,2,http://10.240.4.179/api/articles/?pid=jdh001,119,0,0
1631112086216,322,Random article,200,OK,Thread Group 1-1,text,true,,20524,531,2,2,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,60,0,0
1631112086216,60,Random article-0,301,Moved Permanently,Thread Group 1-1,text,true,,279,265,2,2,http://10.240.4.179/api/articles/8pGzPyTDKBjR,60,0,0
1631112086276,262,Random article-1,200,OK,Thread Group 1-1,text,true,,20245,266,2,2,http://10.240.4.179/api/articles/8pGzPyTDKBjR/,74,0,0
1631112086647,331,Issues list,200,OK,Thread Group 1-3,text,true,,910,549,3,3,http://10.240.4.179/api/issues/?ordering=-creation_date,245,0,155
1631112086647,245,Issues list-0,301,Moved Permanently,Thread Group 1-3,text,true,,288,274,3,3,http://10.240.4.179/api/issues?ordering=-creation_date,245,0,155
1631112086892,86,Issues list-1,200,OK,Thread Group 1-3,text,true,,622,275,3,3,http://10.240.4.179/api/issues/?ordering=-creation_date,86,0,0
1631112086979,362,Issue jdh001,200,OK,Thread Group 1-3,text,true,,750,515,3,3,http://10.240.4.179/api/issues/jdh001/,110,0,0
1631112086979,110,Issue jdh001-0,301,Moved Permanently,Thread Group 1-3,text,true,,271,257,3,3,http://10.240.4.179/api/issues/jdh001,110,0,0
1631112087089,252,Issue jdh001-1,200,OK,Thread Group 1-3,text,true,,479,258,3,3,http://10.240.4.179/api/issues/jdh001/,252,0,0
1631112086063,1806,Articles's list jdh001,200,OK,Thread Group 1-2,text,true,,209265,264,4,4,http://10.240.4.179/api/articles/?pid=jdh001,122,0,0
1631112087648,492,Issues list,200,OK,Thread Group 1-4,text,true,,910,549,4,4,http://10.240.4.179/api/issues/?ordering=-creation_date,206,0,124
1631112087648,206,Issues list-0,301,Moved Permanently,Thread Group 1-4,text,true,,288,274,4,4,http://10.240.4.179/api/issues?ordering=-creation_date,206,0,124
1631112087855,285,Issues list-1,200,OK,Thread Group 1-4,text,true,,622,275,4,4,http://10.240.4.179/api/issues/?ordering=-creation_date,285,0,0
1631112087880,520,Random article,200,OK,Thread Group 1-2,text,true,,29182,531,4,4,http://10.240.4.179/api/articles/L2gBr3BzwH8Z/,260,0,0
1631112087880,260,Random article-0,301,Moved Permanently,Thread Group 1-2,text,true,,279,265,4,4,http://10.240.4.179/api/articles/L2gBr3BzwH8Z,260,0,0
1631112088140,260,Random article-1,200,OK,Thread Group 1-2,text,true,,28903,266,4,4,http://10.240.4.179/api/articles/L2gBr3BzwH8Z/,135,0,0
1631112088141,270,Issue jdh001,200,OK,Thread Group 1-4,text,true,,750,515,4,4,http://10.240.4.179/api/issues/jdh001/,160,0,0
1631112088141,160,Issue jdh001-0,301,Moved Permanently,Thread Group 1-4,text,true,,271,257,4,4,http://10.240.4.179/api/issues/jdh001,160,0,0
1631112088301,110,Issue jdh001-1,200,OK,Thread Group 1-4,text,true,,479,258,4,4,http://10.240.4.179/api/issues/jdh001/,110,0,0
1631112088647,852,Issues list,200,OK,Thread Group 1-5,text,true,,910,549,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,526,0,291
1631112088647,526,Issues list-0,301,Moved Permanently,Thread Group 1-5,text,true,,288,274,5,5,http://10.240.4.179/api/issues?ordering=-creation_date,526,0,291
1631112089173,326,Issues list-1,200,OK,Thread Group 1-5,text,true,,622,275,5,5,http://10.240.4.179/api/issues/?ordering=-creation_date,326,0,0
1631112087341,2573,Articles's list jdh001,200,OK,Thread Group 1-3,text,true,,209265,264,5,5,http://10.240.4.179/api/articles/?pid=jdh001,215,0,0
1631112089500,504,Issue jdh001,200,OK,Thread Group 1-5,text,true,,750,515,5,5,http://10.240.4.179/api/issues/jdh001/,247,0,0
1631112089500,247,Issue jdh001-0,301,Moved Permanently,Thread Group 1-5,text,true,,271,257,5,5,http://10.240.4.179/api/issues/jdh001,247,0,0
1631112089749,255,Issue jdh001-1,200,OK,Thread Group 1-5,text,true,,479,258,5,5,http://10.240.4.179/api/issues/jdh001/,255,0,0
1631112089921,702,Random article,200,OK,Thread Group 1-3,text,true,,35081,531,5,5,http://10.240.4.179/api/articles/WBqfZzfi7nHK/,224,0,0
1631112089921,224,Random article-0,301,Moved Permanently,Thread Group 1-3,text,true,,279,265,5,5,http://10.240.4.179/api/articles/WBqfZzfi7nHK,224,0,0
1631112090145,478,Random article-1,200,OK,Thread Group 1-3,text,true,,34802,266,5,5,http://10.240.4.179/api/articles/WBqfZzfi7nHK/,396,0,0
1631112088411,2933,Articles's list jdh001,200,OK,Thread Group 1-4,text,true,,209265,264,5,5,http://10.240.4.179/api/articles/?pid=jdh001,208,0,0
1631112091349,924,Random article,200,OK,Thread Group 1-4,text,true,,29182,531,5,5,http://10.240.4.179/api/articles/L2gBr3BzwH8Z/,181,0,0
1631112091349,181,Random article-0,301,Moved Permanently,Thread Group 1-4,text,true,,279,265,5,5,http://10.240.4.179/api/articles/L2gBr3BzwH8Z,181,0,0
1631112091530,743,Random article-1,200,OK,Thread Group 1-4,text,true,,28903,266,5,5,http://10.240.4.179/api/articles/L2gBr3BzwH8Z/,288,0,0
1631112090006,3371,Articles's list jdh001,200,OK,Thread Group 1-5,text,true,,209265,264,5,5,http://10.240.4.179/api/articles/?pid=jdh001,243,0,0
1631112093381,2262,Random article,200,OK,Thread Group 1-5,text,true,,37019,531,5,5,http://10.240.4.179/api/articles/33pRxE2dtUHP/,514,0,0
1631112093381,514,Random article-0,301,Moved Permanently,Thread Group 1-5,text,true,,279,265,5,5,http://10.240.4.179/api/articles/33pRxE2dtUHP,514,0,0
1631112093896,1747,Random article-1,200,OK,Thread Group 1-5,text,true,,36740,266,5,5,http://10.240.4.179/api/articles/33pRxE2dtUHP/,693,0,0
1631112088403,7820,Raw github,200,OK,Thread Group 1-2,text,true,,1143272,337,5,5,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-L2gBr3BzwH8Z/main/DigitalHistoryRepresentations.ipynb,536,0,0
1631112092274,21730,Raw github,200,OK,Thread Group 1-4,text,true,,1143268,337,4,4,http://10.240.4.179/proxy-githubusercontent/jdh-observer/jdh001-L2gBr3BzwH8Z/main/DigitalHistoryRepresentations.ipynb,234,0,0
