timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631175225331,38,Issues list,200,OK,Thread Group 1-4,text,true,,910,549,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,20,0,7
1631175225331,22,Issues list-0,301,Moved Permanently,Thread Group 1-4,text,true,,288,274,6,6,http://10.240.4.179/api/issues?ordering=-creation_date,20,0,7
1631175225355,14,Issues list-1,200,OK,Thread Group 1-4,text,true,,622,275,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,14,0,0
1631175225312,68,Issues list,200,OK,Thread Group 1-1,text,true,,910,549,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,39,0,27
1631175225312,41,Issues list-0,301,Moved Permanently,Thread Group 1-1,text,true,,288,274,6,6,http://10.240.4.179/api/issues?ordering=-creation_date,39,0,27
1631175225355,25,Issues list-1,200,OK,Thread Group 1-1,text,true,,622,275,6,6,http://10.240.4.179/api/issues/?ordering=-creation_date,25,0,0
1631175225312,76,Issues list,200,OK,Thread Group 1-3,text,true,,910,549,7,7,http://10.240.4.179/api/issues/?ordering=-creation_date,39,0,25
1631175225312,41,Issues list-0,301,Moved Permanently,Thread Group 1-3,text,true,,288,274,7,7,http://10.240.4.179/api/issues?ordering=-creation_date,39,0,25
1631175225355,33,Issues list-1,200,OK,Thread Group 1-3,text,true,,622,275,7,7,http://10.240.4.179/api/issues/?ordering=-creation_date,33,0,0
1631175225371,17,Issue jdh001,200,OK,Thread Group 1-4,text,true,,750,515,7,7,http://10.240.4.179/api/issues/jdh001/,4,0,0
1631175225371,4,Issue jdh001-0,301,Moved Permanently,Thread Group 1-4,text,true,,271,257,7,7,http://10.240.4.179/api/issues/jdh001,4,0,0
1631175225375,13,Issue jdh001-1,200,OK,Thread Group 1-4,text,true,,479,258,7,7,http://10.240.4.179/api/issues/jdh001/,13,0,0
1631175225339,56,Issues list,200,OK,Thread Group 1-5,text,true,,910,549,7,7,http://10.240.4.179/api/issues/?ordering=-creation_date,12,0,2
1631175225339,14,Issues list-0,301,Moved Permanently,Thread Group 1-5,text,true,,288,274,7,7,http://10.240.4.179/api/issues?ordering=-creation_date,12,0,2
