timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631772931215,16,Issues list,200,OK,Thread Group 1-2,text,true,,910,549,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,4,0,1
1631772931180,51,Issues list,200,OK,Thread Group 1-1,text,true,,910,549,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,32,0,22
1631772931215,4,Issues list-0,301,Moved Permanently,Thread Group 1-2,text,true,,288,274,2,2,http://10.240.4.179/api/issues?ordering=-creation_date,4,0,1
1631772931180,35,Issues list-0,301,Moved Permanently,Thread Group 1-1,text,true,,288,274,2,2,http://10.240.4.179/api/issues?ordering=-creation_date,32,0,22
1631772931219,12,Issues list-1,200,OK,Thread Group 1-2,text,true,,622,275,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,12,0,0
1631772931217,14,Issues list-1,200,OK,Thread Group 1-1,text,true,,622,275,2,2,http://10.240.4.179/api/issues/?ordering=-creation_date,14,0,0
1631772931233,13,Issue jdh001,200,OK,Thread Group 1-2,text,true,,750,515,2,2,http://10.240.4.179/api/issues/jdh001/,4,0,0
1631772931232,14,Issue jdh001,200,OK,Thread Group 1-1,text,true,,750,515,2,2,http://10.240.4.179/api/issues/jdh001/,3,0,0
1631772931233,4,Issue jdh001-0,301,Moved Permanently,Thread Group 1-2,text,true,,271,257,2,2,http://10.240.4.179/api/issues/jdh001,4,0,0
1631772931232,3,Issue jdh001-0,301,Moved Permanently,Thread Group 1-1,text,true,,271,257,2,2,http://10.240.4.179/api/issues/jdh001,3,0,0
1631772931237,9,Issue jdh001-1,200,OK,Thread Group 1-2,text,true,,479,258,2,2,http://10.240.4.179/api/issues/jdh001/,9,0,0
1631772931236,10,Issue jdh001-1,200,OK,Thread Group 1-1,text,true,,479,258,2,2,http://10.240.4.179/api/issues/jdh001/,10,0,0
1631772931314,18,Issues list,200,OK,Thread Group 1-3,text,true,,910,549,3,3,http://10.240.4.179/api/issues/?ordering=-creation_date,7,0,3
1631772931314,7,Issues list-0,301,Moved Permanently,Thread Group 1-3,text,true,,288,274,3,3,http://10.240.4.179/api/issues?ordering=-creation_date,7,0,3
1631772931321,11,Issues list-1,200,OK,Thread Group 1-3,text,true,,622,275,3,3,http://10.240.4.179/api/issues/?ordering=-creation_date,11,0,0
1631772931332,11,Issue jdh001,200,OK,Thread Group 1-3,text,true,,750,515,3,3,http://10.240.4.179/api/issues/jdh001/,3,0,0
